,abbr,word
821,nad,nadine
822,med,medika
823,fau,fauzan
824,apot,apoteker
825,sorea,soreang-c
826,galung,galunggung
827,pernia,perniagaan
828,kuningan,kuni
829,adhimak,adhimakayasa
830,simatu,simatupang
831,ach,achmad
832,bara,barabai
833,glo,global
834,jakata,jakatawang
835,mare,marelan
836,asog,asogiri
837,fell,fellicia
838,rong,rongten
839,jala,jaladri
840,tele,telepon
841,arj,arjana
842,heg,hegarm
843,cire,cirebon
844,meiz,meizhou
845,bangil-p,bangil-pandaan
846,morosung,morosunggingan
847,magela,magelang-yo
848,cileungsi-,cileungsi-jonggol
849,bukal,bukalapak
850,jami,jamilla
851,kus,kusuma
852,jeng,jenggot
853,manguns,mangunsudiran
854,rege,regency
855,sema,semarang
856,banjarmasin,banjarmasin
857,seh,sehati
858,sla,slamet
859,sab,sabana
860,gore,gorengan
861,pec,peceno
862,yohy,yohyanes
863,airli,airlines.
864,sidr,sidratul
865,banyuw,banyuwangi
866,kadi,kadipiro
867,talasal,talasalapang
868,kran,kranggan
869,assa,assalam
870,dae,daerah
871,aza,azalea
872,elt,elteha
873,bim,bimbel
874,brata,bratasena
875,transpe,transpersada
876,pemanc,pemancingan
877,gur,gurami
878,kebu,kebun-ho
879,rest,restoran
880,pema,pemadam
881,karan,karanggan
882,pagesangan,pag
883,probol,probolinggo
884,kora,koramil
885,sentosa.,sentosa
886,hummin,hummingbird
887,junj,junjunan
888,hij,hijau
889,fringe,fringerplus
890,wilwatikta),wilwatikta
891,cibeun,cibeunying
892,bin,binaan
893,rungkut,rung
894,garuda,garudayaksa
895,wasp,waspada
896,cont,control
897,sen,seneng
898,quint,quintrix
899,rez,rezeki
900,tommy,tommy
901,m.ked,m.ked
902,bum,bumdes
903,luwun,luwung-ge
904,kedoya,ked
905,gedo,gedongk
906,simok,simokerto
907,prak,praktik
908,lama,lama
909,bol,bolong
910,nagari,nagari
911,pata,patapan
912,pas,pasung
913,srengseng,sreng
914,berm,bermain
915,ihti,ihtiath
916,sena,senayan
917,semolowaru,sem
918,pets,petshop
919,sra,sragen
920,064,064031
921,dipone,diponegoro
922,ais,aisyah
923,mul,mulya
924,dip,dipone
925,ciru,ciruas
926,perhim,perhimpunan
927,selu,selular
928,safr,safrudin
929,beli,belitang
930,janti),janti
931,fraga,fragancia
932,hyun,hyundai
933,nasi,nasional
934,fauz,fauziah
935,saha,sahabat
936,rama,ramadhan
937,recor,recording
938,ass,assaat
939,shipp,shipping.
940,palem,palembang
941,rung,rungkut
942,aqu,aquila
943,malang,malang
944,nga,ngagel
945,mutma,mutmainah
946,prope,property-
947,mang,manggis
948,christ,christoper
949,konv,konveksi
950,tir,tirta.
951,ben,bendul
952,kinc,kinclong
953,masr,masriah
954,pola,polaris
955,tenggu,tenggumung
956,kerta,kertajaya
957,pag,pagela
958,sambikerep,sambi
959,gado-,gado-gado
960,tanbak,tanbakrejo
961,gunung,gunungsari
962,karawang-p,karawang-pamanukan
963,pand,pandaan
964,kri,kristi
965,ros,rosela
966,ayu,ayudia
967,pedurungan,ped
968,las,lasona
969,way,wayang
970,an-n,an-nafi'
971,nung,nunggal
972,mis,mister
973,larash,larashanty
974,wonokromo,won
975,wisn,wisnuwa
976,bamb,bambang
977,yuw,yuwono
978,pejuang,peju
979,seka,sekawan
980,mertelu),mertelu
981,srigi,srigianto
982,orig,original
983,030,030295
984,rekl,reklame
985,jua,juanda
986,ding,dinginan
987,tinanding.dsn.tinanding.kec.godong,tinanding
988,tauc,tauchid
989,tikusan,tiku
990,murha,murhammah
991,rej,rejeki
992,gotr,gotri-w
993,los,losmen
994,fit,fitria
995,cita,citarum
996,peni,peninda
997,rafl,raflesia
998,sid,sidoma
999,seg,segara
1000,andalas,anda
1001,bing,bingkai
1002,pasu,pasuruan
1003,puspita.,puspita
1004,huri,huriyah
1005,khol,kholipah
1006,tamansari,taman
1007,gebang(depan,gebang
1008,andr,andrela
1009,raudhotus,raudhotussyibyan
1010,spes,spesial
1011,suba,subarkah
1012,wono,wonorejo
1013,muaw,muawanah
1014,seta,setapak
1015,olah,olahraga
1016,kabup,kabupaten
1017,medan-t,medan-tebing
1018,gap,gapura
1019,amboke,ambokembang
1020,keru,kerudung
1021,baha,bahagia
1022,cibu,cibungur
1023,thre,threenet
1024,techno,techno
1025,tri,trisna
1026,pega,pegasus
1027,joew,joewanda
1028,jodi,jodipati
1029,jumani,jumaningsih
1030,karang,karangjati
1031,mel,melati
1032,mangkun,mangkunegara
1033,pusk,puskemas
1034,tel,telaga
1035,puske,puskesmas
1036,tambel,tambelangan
1037,suku,sukupat
1038,anwa,anwarul
1039,bppt.,bppt
1040,agrotourism.,agrotourism
1041,age,agency
1042,let,letnan
1043,kela,kelautan
1044,cikande,cika
1045,badarus,badarussamsi
1046,asia-,asia-biro
1047,perba,perbangsa
1048,dome,domestik
1049,inform,informatika
1050,swal,swalayan
1051,pakual,pakualaman
1052,inhu,inhu-si
1053,puj,pujiyo
1054,azh,azhari
1055,outb,outbound
1056,han,hanifa
1057,mamal,mamalucia
1058,teno,tenongan
1059,elec,electric
1060,under,underwear
1061,cin,cincin
1062,lit,little
1063,cibe,cibedug
1064,kup,kupang
1065,digi,digital
1066,jl.sisi,jl.sisingama
1067,majalen,majalengka-k
1068,del,delima
1069,siregartirta,siregar
1070,al-i,al-ikhas
1071,hardiy,hardiyanti
1072,hoes,hoesodo
1073,boko,bokormas
1074,waru,warunge
1075,kenari,ken
1076,rowo,rowosari
1077,terong,ter
1078,terc,tercinta
1079,inst,institut
1080,tim,timbul
1081,andi,andiani
1082,ath,athfal
1083,sep,sepeda
1084,tamp,tampomas
1085,bata,batavia
1086,maul,maulana
1087,ma'a,ma'arif
1088,sida,sidadadi
1089,sand,sandrena
1090,boyol,boyolangu
1091,mata,mataram
1092,geu,geulis
1093,nurh,nurhadi
1094,dahl,dahlan
1095,sinj,sinjuana
1096,onl,online
1097,perum.g,perum
1098,cae,caesar
1099,fatma,fatmasari
1100,den,dental
1101,kitc,kitchen
1102,afi,afizah
1103,club),club
1104,asu,asuhan
1105,kedungdoro,ked
1106,colo,colombo
1107,wara,warung
1108,samig,samigaluh
1109,nongk,nongko'an
1110,fashio,fashiooita
1111,nam,namira
1112,mulawa,mulawarman
1113,kalima,kalimantan
1114,lala,lalapan
1115,agro,agrojati
1116,pademangan,padema
1117,pal,palapa
1118,sho,shodiq
1119,bete,beteleme
1120,ekon,ekonomi
1121,binam,binamarga
1122,muara,mua
1123,sepu,seputih
1124,almuaw,almuawanah
1125,inde,indekost
1126,hami,hamidah
1127,flor,florist
1128,nak,nakula
1129,thu,thukul
1130,bree,breeder
1131,maes,maestro
1132,usa,usaha.
1133,sang,sangkan
1134,pelo,pelopor
1135,kelu,keluarga
1136,siro,sirojul
1137,palb,palbatu
1138,jag,jagrak
1139,al-mut,al-muttaqin
1140,spare,sparepart
1141,dri,drinks
1142,pind,pindang
1143,int,interc
1144,aladd,aladdin86
1145,fri,friend
1146,pekalo,pekalongan
1147,kris,kristen
1148,perbat,perbatasan
1149,caem,caembem
1150,wie,wiella
1151,baitur,baiturrahim
1152,produc,production
1153,arjasa),arjasa
1154,dinsosnak,dinsosnakertrans
1155,al-m,al-maja
1156,gre,gresik
1157,petemon,pete
1158,ora,orange
1159,melong,mel
1160,text,textile
1161,mov,movers
1162,dian,diananda
1163,teru,terusan
1164,plan,planner
1165,lese,lesehan
1166,bur,burung
1167,manisr,manisrengo
1168,pekojan,peko
1169,and,andrea
1170,mania,maniamolo
1171,modifi,modifikasi
1172,bringh,bringharjo
1173,pabri,pabringan
1174,pak,pakcik
1175,hamzan,hamzanwadi
1176,gelo,gelogor
1177,hjelly,hjellyanah
1178,saud,saudara
1179,ronggolawe),ronggolawe
1180,men,mendut
1181,may,mayang
1182,kedo,kedokan
1183,kavl,kavling
1184,ald,aldian
1185,perbenda,perbendaharaan
1186,rosma,rosmalina
1187,tempu,tempuling
1188,nya,nyaman
1189,hai,haidar
1190,pelangiwarung,pelangi
1191,musl,muslimat
1192,more,moreskin
1193,majalengka.08,majalengka.087831322566
1194,petrok,petrokimia
1195,cipi,cipinang
1196,refl,refleksi
1197,balikp,balikpapan
1198,syu,syukur
1199,armina,arminareka
1200,sepa,sepatuku
1201,siluk),siluk
1202,lent,lenteng
1203,prima,primadona
1204,haryanti,haryanti
1205,dana,danamon
1206,neut,neutron
1207,tulu,tulupan
1208,outd,outdoor
1209,pant,pantura
1210,plat,platinum
1211,siti,sitinjau
1212,vih,vihara
1213,kill,killiney
1214,tradis,tradisional
1215,al-a,al-azhar
1216,kampus.,kampus
1217,soh,sohana
1218,carp,carpets
1219,cit,citami
1220,alumu,alumunium
1221,sabr,sabrina
1222,genteng,gent
1223,t&zpho,t&zphonsel
1224,blamba,blambangan
1225,perm,permata
1226,valasi,valasindo.
1227,plyw,plywood.
1228,pesona.,pesona
1229,list,listrik
1230,juwi,juwiring
1231,mari,mariyem
1232,iii,iii
1233,cilang,cilangsari
1234,benc,bencana
1235,salah,salahudin
1236,prote,protestan
1237,mina,minahasa
1238,ann,annisa
1239,masa,masakan
1240,deng,dengal.
1241,nen,neneng
1242,cant,cantique
1243,lat,latuma
1244,kha,khayla
1245,kiar,kiaraco
1246,ai-i,ai-isuzu
1247,opera,operation
1248,saga,sagarik
1249,ketu,ketumbar
1250,sari,sarimin
1251,semampir,sema
1252,pemasyar,pemasyarakatan
1253,sah,sahara
1254,karto,karangpandan-n
1255,ling,lingkar
1256,chom,chombat
1257,kuan,kuantan
1258,djo,djogja
1259,marz,marzuki
1260,ely,elyman
1261,cipeundeuy,cip
1262,zait,zaitoni
1263,restau,restaurant
1264,prawiro,prawirotaman
1265,labb,labbaik
1266,islam,islamiyah
1267,martadi,martadisastra
1268,bom,boming
1269,perjua,perjuangan
1270,sangga,sanggarahan
1271,spa,spares
1272,nusant,nusantara.
1273,rogojampi),rogojampi
1274,simongan,simo
1275,roc,rocket
1276,patr,patriot
1277,sej,sejati
1278,marh,marhamah
1279,kisa,kisamaun
1280,trad,trading
1281,maha,mahavira
1282,impe,imperial
1283,gro,groups
1284,kemiri,kem
1285,cham,champion
1286,tul,tulung
1287,sigo,sigotom
1288,sala,salatiga
1289,karo-p,karo-panji
1290,nan,nandya
1291,gane,ganesha
1292,kayul,kayulapis
1293,dep,depok
1294,gading),gading
1295,plas,plastik
1296,kepemu,kepemudaan
1297,ref,refill
1298,muljadi,muljadi
1299,culi,culinary
1300,kaut,kautsar
1301,supr,suprapto
1302,cher,cherlya
1303,tok,tokcer
1304,sury,suryake
1305,helv,helvetia
1306,ruma,rumahan
1307,simomasuk,simo
1308,revo,revolusi
1309,warakas,wara
1310,dhar,dharmah
1311,ash,ashari
1312,tulung,tulungagung
1313,perik,perikanan
1314,dim,dimsum
1315,fori,forindo
1316,tai,tailor
1317,salsab,salsabilla
1318,soedi,soedirman
1319,asto,astoria
1320,al-ik,al-ikhsan
1321,tiwiol,tiwiolshop
1322,bungam,bungamayang
1323,telag,telaga-su
1324,palur),palur
1325,indo,indolink
1326,mubtad,mubtadi_ien
1327,bant,banteng
1328,karya,karyabaru
1329,stu,studio
1330,sentra,sentralindo
1331,sop,sophie
